Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação Judicial
ALLIAR,AALR3,11.19,75.52,"2,55%",7820000.0,FASE OPERACIONAL
AMBEV S/A,ABEV3,17.61,15.57,"27,05%",347200000.0,FASE OPERACIONAL
AERIS,AERI3,8.3,31.0,"8,71%",37410000.0,FASE OPERACIONAL
AES BRASIL,AESB3,14.65,,,10150000.0,FASE OPERACIONAL
AFLUENTE T,AFLT3,9.25,27.97,"54,72%",18210.0,FASE OPERACIONAL
BRASILAGRO,AGRO3,30.67,7.81,"34,26%",26770000.0,FASE OPERACIONAL
SPTURIS,AHEB3,20.0,-4.85,"-17,42%",3600.0,FASE OPERACIONAL
SPTURIS,AHEB5,19.0,-4.85,"-17,42%",27454.0,FASE OPERACIONAL
SPTURIS,AHEB6,30.0,-4.85,"-17,42%",35692.0,FASE OPERACIONAL
ALLIED,ALLD3,18.79,5.77,"6,39%",832240.0,FASE OPERACIONAL
ALPARGATAS,ALPA3,39.66,53.83,"12,57%",152640.0,FASE OPERACIONAL
ALPARGATAS,ALPA4,45.38,53.83,"12,57%",63490000.0,FASE OPERACIONAL
ESTAPAR,ALPK3,8.23,-107.41,"-4,96%",320830.0,FASE OPERACIONAL
ALIANSCSONAE,ALSO3,28.31,35.03,"30,24%",37970000.0,FASE OPERACIONAL
ALUPAR,ALUP11,26.66,4.03,"57,88%",23380000.0,FASE OPERACIONAL
ALUPAR,ALUP3,8.79,4.03,"57,88%",157930.0,FASE OPERACIONAL
ALUPAR,ALUP4,8.9,4.03,"57,88%",216200.0,FASE OPERACIONAL
LOJAS MARISA,AMAR3,6.59,-12.17,"-12,13%",32980000.0,FASE OPERACIONAL
AMBIPAR,AMBP3,28.17,19.94,"18,24%",9800000.0,FASE OPERACIONAL
ANIMA,ANIM3,11.99,26.09,"12,99%",27080000.0,FASE OPERACIONAL
ALPER S.A.,APER3,49.85,-227.62,"-3,21%",4810000.0,FASE PRÉ-OPERACIONAL
AREZZO CO,ARZZ3,84.84,91.77,"5,79%",51910000.0,FASE OPERACIONAL
ASSAI,ASAI3,86.2,12.56,"5,91%",131790000.0,FASE OPERACIONAL
ATMASA,ATMP3,10.1,-5.13,"-10,47%",1580000.0,FASE OPERACIONAL
ATOMPAR,ATOM3,8.4,12.52,"35,35%",3540000.0,FASE OPERACIONAL
ALPHAVILLE,AVLL3,25.9,-4.74,"-102,43%",187800.0,FASE OPERACIONAL
AZEVEDO,AZEV3,6.86,0.72,"601,47%",809510.0,FASE OPERACIONAL
AZEVEDO,AZEV4,5.2,0.72,"601,47%",1480000.0,FASE OPERACIONAL
AZUL,AZUL4,40.98,-10.58,"-37,84%",276420000.0,FASE OPERACIONAL
B3,B3SA3,17.35,4.46,"61,43%",788100000.0,FASE OPERACIONAL
BAHEMA,BAHI3,72.0,-10.76,"-4,94%",48600.0,FASE OPERACIONAL
BAUMER,BALM3,18.06,7.66,"11,93%",31440.0,FASE OPERACIONAL
BAUMER,BALM4,16.1,7.66,"11,93%",45600.0,FASE OPERACIONAL
EXCELSIOR,BAUH4,86.0,8.62,"11,40%",80320.0,FASE OPERACIONAL
BR BROKERS,BBRK3,1.78,-0.94,"-101,08%",1910000.0,FASE OPERACIONAL
BARDELLA,BDLL3,10.85,-4.4,"-353,49%",134030.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
BARDELLA,BDLL4,10.23,-4.4,"-353,49%",103060.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
MINERVA,BEEF3,9.66,5.67,"8,97%",106110000.0,FASE OPERACIONAL
BIOMM,BIOM3,15.8,-19.98,"-92,41%",296850.0,FASE PRÉ-OPERACIONAL
BK BRASIL,BKBR3,10.5,-7.02,"-20,55%",25800000.0,FASE OPERACIONAL
BLAU,BLAU3,42.39,17.95,"34,52%",7250000.0,FASE OPERACIONAL
BIC MONARK,BMKS3,240.0,-18.83,"8,31%",16780.0,FASE OPERACIONAL
BEMOBI TECH,BMOB3,22.58,10.77,"34,97%",30030000.0,FASE OPERACIONAL
BOA VISTA,BOAS3,11.2,78.86,"11,91%",11780000.0,FASE OPERACIONAL
BOMBRIL,BOBR4,2.39,9.9,"6,49%",350510.0,FASE OPERACIONAL
BRADESPAR,BRAP3,61.3,7.11,,3240000.0,FASE OPERACIONAL
BRADESPAR,BRAP4,70.12,7.11,,190140000.0,FASE OPERACIONAL
PETROBRAS BR,BRDT3,25.58,7.23,"5,72%",208460000.0,FASE OPERACIONAL
BRF SA,BRFS3,26.93,12.65,"7,10%",230540000.0,FASE OPERACIONAL
BRASKEM,BRKM3,50.7,10.53,"9,17%",1390000.0,FASE OPERACIONAL
BRASKEM,BRKM5,50.82,10.53,"9,17%",169680000.0,FASE OPERACIONAL
BRASKEM,BRKM6,39.0,10.53,"9,17%",7670.0,FASE OPERACIONAL
BR MALLS PAR,BRML3,10.85,-33.7,"-40,70%",163040000.0,FASE OPERACIONAL
BR PROPERT,BRPR3,8.95,17.95,"108,20%",14730000.0,FASE OPERACIONAL
B2W DIGITAL,BTOW3,56.0,228.09,"1,12%",278660000.0,FASE OPERACIONAL
BATTISTELLA,BTTL3,15.01,4.68,"9,15%",113900.0,FASE OPERACIONAL
CAMBUCI,CAMB3,5.04,24.46,"7,73%",454160.0,FASE OPERACIONAL
CAMIL,CAML3,9.64,7.74,"8,33%",15470000.0,FASE OPERACIONAL
CSU CARDSYST,CARD3,23.89,13.83,"16,35%",7140000.0,FASE OPERACIONAL
MELIUZ,CASH3,34.41,124.98,"18,59%",79230000.0,FASE OPERACIONAL
AMPLA ENERG,CBEE3,23.45,32.42,"3,90%",88640.0,FASE OPERACIONAL
CYRE COM-CCP,CCPR3,12.49,12.77,"48,94%",5340000.0,FASE OPERACIONAL
CCR SA,CCRO3,13.64,13.94,"26,87%",166090000.0,FASE OPERACIONAL
CEA MODAS,CEAB3,13.74,-15.58,"-7,30%",27400000.0,FASE OPERACIONAL
CEB,CEBR3,185.0,0.08,"706,26%",598140.0,FASE OPERACIONAL
CEB,CEBR5,187.0,0.08,"706,26%",98760.0,FASE OPERACIONAL
CEB,CEBR6,187.0,0.08,"706,26%",243270.0,FASE OPERACIONAL
CEDRO,CEDO3,9.82,32.42,"1,33%",30590.0,FASE OPERACIONAL
CEDRO,CEDO4,6.45,32.42,"1,33%",179730.0,FASE OPERACIONAL
COELBA,CEEB3,39.9,8.14,"16,01%",46290.0,FASE OPERACIONAL
CEEE-D,CEED3,58.1,-2.68,"-15,81%",20470.0,FASE OPERACIONAL
CEEE-D,CEED4,53.0,-2.68,"-15,81%",2080.0,FASE OPERACIONAL
CEG,CEGR3,60.1,28.28,"18,62%",43880.0,FASE OPERACIONAL
CELPE,CEPE5,26.88,22.49,"8,40%",24670.0,FASE OPERACIONAL
CELPE,CEPE6,28.5,22.49,"8,40%",4860.0,FASE OPERACIONAL
CESP,CESP3,28.5,10.15,"47,26%",345270.0,FASE OPERACIONAL
CESP,CESP5,34.38,10.15,"47,26%",26690.0,FASE OPERACIONAL
CESP,CESP6,25.16,10.15,"47,26%",63630000.0,FASE OPERACIONAL
COMGAS,CGAS3,141.0,12.77,"22,78%",14850.0,FASE OPERACIONAL
COMGAS,CGAS5,160.52,12.77,"22,78%",318320.0,FASE OPERACIONAL
GRAZZIOTIN,CGRA3,33.5,5.99,"18,83%",46330.0,FASE OPERACIONAL
GRAZZIOTIN,CGRA4,33.0,5.99,"18,83%",662610.0,FASE OPERACIONAL
CIELO,CIEL3,3.82,-159.72,"-0,58%",109660000.0,FASE OPERACIONAL
CELESC,CLSC3,72.0,4.83,"8,09%",12890.0,FASE OPERACIONAL
CELESC,CLSC4,66.01,4.83,"8,09%",372780.0,FASE OPERACIONAL
CEMIG,CMIG3,15.68,5.68,"21,92%",10010000.0,FASE OPERACIONAL
CEMIG,CMIG4,13.12,5.68,"21,92%",121860000.0,FASE OPERACIONAL
CSNMINERACAO,CMIN3,9.23,5.24,"51,90%",88480000.0,FASE OPERACIONAL
COELCE,COCE3,70.84,20.06,"6,40%",2150.0,FASE OPERACIONAL
COELCE,COCE5,57.86,20.06,"6,40%",1130000.0,FASE OPERACIONAL
COGNA ON,COGN3,3.92,-4.07,"-66,97%",184100000.0,FASE OPERACIONAL
COR RIBEIRO,CORR4,82.0,-2.48,"29,14%",0.0,FASE OPERACIONAL
CPFL ENERGIA,CPFE3,28.8,8.75,"16,88%",73980000.0,FASE OPERACIONAL
COPEL,CPLE11,29.64,5.1,"22,77%",8250000.0,FASE OPERACIONAL
COPEL,CPLE3,5.48,5.1,"22,77%",12840000.0,FASE OPERACIONAL
COPEL,CPLE6,6.08,5.1,"22,77%",82110000.0,FASE OPERACIONAL
CR2,CRDE3,24.94,-2.74,"-749,69%",13080.0,FASE OPERACIONAL
CARREFOUR BR,CRFB3,21.2,10.16,"6,80%",89610000.0,FASE OPERACIONAL
CRISTAL,CRPG3,62.03,8.1,"23,70%",2780.0,FASE OPERACIONAL
CRISTAL,CRPG5,70.0,8.1,"23,70%",934080.0,FASE OPERACIONAL
CRISTAL,CRPG6,67.99,8.1,"23,70%",171090.0,FASE OPERACIONAL
COSAN,CSAN3,21.91,15.26,"18,70%",257980000.0,FASE OPERACIONAL
CRUZEIRO EDU,CSED3,13.25,22.62,"12,53%",7240000.0,FASE OPERACIONAL
COPASA,CSMG3,17.51,7.09,"24,20%",39890000.0,FASE OPERACIONAL
SID NACIONAL,CSNA3,45.7,6.2,"34,92%",586220000.0,FASE OPERACIONAL
COSERN,CSRN3,16.1,8.62,"17,04%",34740.0,FASE OPERACIONAL
COSERN,CSRN5,16.86,8.62,"17,04%",10830.0,FASE OPERACIONAL
COSERN,CSRN6,16.0,8.62,"17,04%",9250.0,FASE OPERACIONAL
KARSTEN,CTKA3,31.5,8.4,"20,24%",16530.0,FASE OPERACIONAL
KARSTEN,CTKA4,26.27,8.4,"20,24%",88070.0,FASE OPERACIONAL
COTEMINAS,CTNM3,11.6,17.55,"4,23%",5610.0,FASE OPERACIONAL
COTEMINAS,CTNM4,6.19,17.55,"4,23%",162000.0,FASE OPERACIONAL
SANTANENSE,CTSA3,2.54,26.61,"3,61%",164370.0,FASE OPERACIONAL
SANTANENSE,CTSA4,2.1,26.61,"3,61%",92030.0,FASE OPERACIONAL
CURY S/A,CURY3,9.41,9.83,"20,98%",9590000.0,FASE OPERACIONAL
CVC BRASIL,CVCB3,23.57,-7.25,"-181,31%",132080000.0,FASE OPERACIONAL
CYRELA REALT,CYRE3,21.95,4.06,"58,05%",155700000.0,FASE OPERACIONAL
DASA,DASA3,59.4,179.83,"2,55%",12820000.0,FASE OPERACIONAL
DIRECIONAL,DIRR3,12.88,8.42,"15,49%",16900000.0,FASE OPERACIONAL
DOMMO,DMMO3,0.88,2.24,"41,09%",8350000.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
D1000VFARMA,DMVF3,8.91,0.0586379,"0,01%",2640000.0,FASE OPERACIONAL
DOHLER,DOHL3,26.8,17.23,"15,62%",10280.0,FASE OPERACIONAL
DOHLER,DOHL4,6.18,17.23,"15,62%",119110.0,FASE OPERACIONAL
DTCOM-DIRECT,DTCY3,10.02,-213.48,"-4,06%",69070.0,FASE OPERACIONAL
DURATEX,DTEX3,22.2,20.62,"12,88%",49620000.0,FASE OPERACIONAL
ACO ALTONA,EALT3,15.3,8.58,"12,86%",148450.0,FASE OPERACIONAL
ACO ALTONA,EALT4,6.45,8.58,"12,86%",398570.0,FASE OPERACIONAL
ECORODOVIAS,ECOR3,12.26,15.73,"21,84%",50310000.0,FASE OPERACIONAL
CEEE-GT,EEEL3,520.0,8.81,"42,80%",4030.0,FASE OPERACIONAL
CEEE-GT,EEEL4,600.0,8.81,"42,80%",0.0,FASE OPERACIONAL
ENGIE BRASIL,EGIE3,40.35,7.85,"46,31%",72210000.0,FASE OPERACIONAL
ELEKTRO,EKTR3,33.05,8.79,"14,51%",1130.0,FASE OPERACIONAL
ELEKTRO,EKTR4,25.55,8.79,"14,51%",43230.0,FASE OPERACIONAL
ELETROBRAS,ELET3,41.75,10.48,"30,42%",271370000.0,FASE OPERACIONAL
ELETROBRAS,ELET5,64.0,10.48,"30,42%",17850.0,FASE OPERACIONAL
ELETROBRAS,ELET6,41.63,10.48,"30,42%",120170000.0,FASE OPERACIONAL
ELETROMIDIA,ELMD3,17.0,-22.26,"-47,08%",5720000.0,FASE OPERACIONAL
EMAE,EMAE4,88.01,11.75,"36,45%",344050.0,FASE OPERACIONAL
EMBRAER,EMBR3,16.66,-14.22,"-7,78%",199570000.0,FASE OPERACIONAL
ENAUTA PART,ENAT3,14.49,9.81,"34,36%",34060000.0,FASE OPERACIONAL
ENERGIAS BR,ENBR3,18.62,5.64,"20,92%",66660000.0,FASE OPERACIONAL
ENEVA,ENEV3,16.74,23.91,"33,93%",110640000.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
ENERGISA,ENGI11,46.0,11.09,"15,04%",78160000.0,FASE OPERACIONAL
ENERGISA,ENGI3,16.74,11.09,"15,04%",346720.0,FASE OPERACIONAL
ENERGISA,ENGI4,7.24,11.09,"15,04%",451640.0,FASE OPERACIONAL
ENJOEI,ENJU3,10.23,-23.78,"-72,02%",27080000.0,FASE OPERACIONAL
ENERGISA MT,ENMT3,56.01,12.63,"22,34%",236670.0,FASE OPERACIONAL
ENERGISA MT,ENMT4,56.0,12.63,"22,34%",71120.0,FASE OPERACIONAL
EQTL PARA,EQPA3,4.5,9.69,"19,46%",223720.0,FASE OPERACIONAL
EQTL PARA,EQPA5,5.56,9.69,"19,46%",9830.0,FASE OPERACIONAL
EQTL PARA,EQPA7,5.38,9.69,"19,46%",10010.0,FASE OPERACIONAL
EQUATORIAL,EQTL3,25.83,7.84,"26,03%",185860000.0,FASE OPERACIONAL
ESPACOLASER,ESPA3,16.99,48.68,"16,41%",20820000.0,FASE OPERACIONAL
ESTRELA,ESTR4,36.7,5.6,"9,71%",20050.0,FASE OPERACIONAL
ETERNIT,ETER3,31.9,5.45,"32,79%",69620000.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
EUCATEX,EUCA3,22.21,7.7,"12,10%",204220.0,FASE OPERACIONAL
EUCATEX,EUCA4,11.45,7.7,"12,10%",3210000.0,FASE OPERACIONAL
EVEN,EVEN3,9.7,3.08,"17,09%",15200000.0,FASE OPERACIONAL
EZTEC,EZTC3,29.63,22.22,"28,91%",79450000.0,FASE OPERACIONAL
FERBASA,FESA3,58.2,11.2,"20,50%",44150.0,FASE OPERACIONAL
FERBASA,FESA4,36.67,11.2,"20,50%",16520000.0,FASE OPERACIONAL
FER HERINGER,FHER3,22.16,4.77,"9,95%",20440000.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
FLEURY,FLRY3,27.22,18.07,"18,04%",46790000.0,FASE OPERACIONAL
FRAS-LE,FRAS3,11.46,9.53,"16,16%",3200000.0,FASE OPERACIONAL
METALFRIO,FRIO3,70.99,16.69,"4,39%",30520.0,FASE OPERACIONAL
POMIFRUTAS,FRTA3,7.4,67.44,"9,56%",292920.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
GER PARANAP,GEPA3,36.61,3.66,"95,97%",11980.0,FASE OPERACIONAL
GER PARANAP,GEPA4,38.0,3.66,"95,97%",33140.0,FASE OPERACIONAL
GAFISA,GFSA3,4.28,85.92,"2,27%",29160000.0,FASE OPERACIONAL
GERDAU,GGBR3,28.5,7.96,"16,26%",4390000.0,FASE OPERACIONAL
GERDAU,GGBR4,33.87,7.96,"16,26%",482830000.0,FASE OPERACIONAL
GRUPO MATEUS,GMAT3,7.8,18.29,"6,77%",33870000.0,FASE OPERACIONAL
INTERMEDICA,GNDI3,84.13,46.75,"10,12%",354620000.0,FASE OPERACIONAL
GERDAU MET,GOAU3,14.21,3.06,"16,23%",1020000.0,FASE OPERACIONAL
GERDAU MET,GOAU4,15.04,3.06,"16,23%",154260000.0,FASE OPERACIONAL
GOL,GOLL4,25.5,-6.58,"-52,17%",175700000.0,FASE OPERACIONAL
CELGPAR,GPAR3,58.5,19.02,"86,08%",2970.0,FASE OPERACIONAL
GPC PART,GPCP3,38.26,5.96,"19,28%",5200000.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
GPC PART,GPCP4,29.7,5.96,"19,28%",66520.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
GRENDENE,GRND3,9.33,18.69,"17,84%",15750000.0,FASE OPERACIONAL
GENERALSHOPP,GSHP3,42.48,119.59,"16,85%",42750.0,FASE OPERACIONAL
GUARARAPES,GUAR3,18.7,-101.81,"-1,75%",15700000.0,FASE OPERACIONAL
HAGA S/A,HAGA3,3.65,3.85,"27,46%",84150.0,FASE OPERACIONAL
HAGA S/A,HAGA4,3.27,3.85,"27,46%",597020.0,FASE OPERACIONAL
HAPVIDA,HAPV3,15.16,47.99,"13,71%",173200000.0,FASE OPERACIONAL
HELBOR,HBOR3,8.57,25.37,"8,60%",17300000.0,FASE OPERACIONAL
HBR REALTY,HBRE3,15.95,31.45,"78,41%",2490000.0,FASE OPERACIONAL
HIDROVIAS,HBSA3,6.74,37.41,"15,99%",32130000.0,FASE OPERACIONAL
HABITASUL,HBTS5,33.1,6.5,"43,23%",30120.0,FASE OPERACIONAL
HERCULES,HETA4,9.92,-1.91,"-10.655,45%",49060.0,FASE OPERACIONAL
CIA HERING,HGTX3,29.32,53.38,"7,87%",90220000.0,FASE OPERACIONAL
HOTEIS OTHON,HOOT4,2.72,-0.36,"-272,05%",27470.0,FASE OPERACIONAL
HYPERA,HYPE3,35.81,19.31,"32,20%",103830000.0,FASE OPERACIONAL
IGB S/A,IGBR3,13.97,-27.81,"-656,23%",1580000.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
IGUATEMI,IGTA3,43.37,26.57,"52,11%",88720000.0,FASE OPERACIONAL
INEPAR,INEP3,53.24,-3.82,"-4.232,60%",1010000.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
INEPAR,INEP4,54.41,-3.82,"-4.232,60%",1540000.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
INTELBRAS,INTB3,27.39,19.79,"17,62%",30370000.0,FASE OPERACIONAL
